id,fresh,rotten,% Positive,year,rating,genre,director,theater_date,dvd_date,box_office,runtime,studio
1235,27,1,96.43,2000,PG,Art House and International|Comedy|Drama|Science Fiction and Fantasy|Special Interest,,1972,2000,,101 minutes,
1236,24,76,24.0,2000,R,Drama,Ewan McGregor,2016,2017,"541,457",126 minutes,Lakeshore Entertainment
1237,17,82,17.17,2000,PG-13,Comedy,Douglas McGrath,2011,2012,"9,500,000",89 minutes,The Weinstein Co.
1238,0,4,0.0,2000,PG,Comedy,Ken Shapiro,1981,2005,,91 minutes,
1239,63,15,80.77,2000,G,Animation|Kids and Family,Frank Nissen,2005,2005,"18,013,938",67 minutes,Buena Vista
1241,1,0,100.0,2000,NR,Comedy|Romance,,,,,80 minutes,
1242,17,0,100.0,2000,NR,Classics|Comedy|Drama,Preston Sturges,1944,2011,,101 minutes,
1243,87,48,64.44,2000,PG-13,Drama,Thomas Carter,2005,2005,"67,169,549",136 minutes,Paramount Pictures
1244,1,6,14.29,2000,PG,Comedy|Romance,Tom McLoughlin,1987,2002,,114 minutes,
1252,94,26,78.33,2000,PG-13,Action and Adventure|Comedy|Western,Tom Dey,2000,2000,,110 minutes,Buena Vista Internationa
1253,2,1,66.67,2000,PG-13,Art House and International|Comedy|Drama,Berit Nesheim,1997,2000,,100 minutes,
1256,32,82,28.07,2004,R,Drama|Mystery and Suspense|Science Fiction and Fantasy,Marc Forster,2005,2006,"3,349,167",99 minutes,20th Century Fox
1257,1,1,50.0,2003,R,Animation|Art House and International|Comedy|Special Interest,Henri Xhonneux,,,,88 minutes,
1260,15,8,65.22,2000,NR,Documentary|Special Interest|Television,Erik Gandini,2009,2010,363,84 minutes,Lorber Films
1261,23,8,74.19,2000,R,Comedy|Drama,Herbert Ross,1995,2001,,115 minutes,
1263,23,59,28.05,2000,PG-13,Comedy|Romance,Daniel Taplitz,2004,2004,"11,827,301",86 minutes,Screen Gems
1264,4,5,44.44,2000,R,Mystery and Suspense,Stephan Rick,2018,2018,,90 minutes,
1265,16,58,21.62,2000,PG-13,Comedy|Drama,Lawrence Kasdan,2012,2012,"793,352",103 minutes,Sony Pictures Classics
1266,0,5,0.0,2000,R,Drama|Mystery and Suspense,Gordon Willis,,,,96 minutes,
1271,13,27,32.5,2003,R,Horror,Paul Schrader,2005,2005,,111 minutes,
1272,9,0,100.0,2003,NR,Classics|Drama|Romance,William Wyler,1950,2007,,115 minutes,
1274,1,6,14.29,2002,R,Comedy|Drama,Philip Goodhew,1996,1998,,105 minutes,
1276,1,0,100.0,2002,NR,Classics|Drama|Mystery and Suspense,Fedor Ozep,1947,2005,,89 minutes,
1277,13,9,59.09,2002,PG-13,Action and Adventure|Drama|Horror|Science Fiction and Fantasy,Wolfgang Petersen,1985,2001,,109 minutes,
1279,25,54,31.65,2001,PG,Comedy|Kids and Family,Paul Feig,2006,2007,"16,614,132",89 minutes,Warner Bros.
1281,12,4,75.0,2000,PG-13,Comedy|Romance,James Lapine,1991,2002,,108 minutes,
1283,3,3,50.0,2000,NR,Documentary|Special Interest,Tim Nackashi|David Sampliner|Eric DelaBarre,,,,58 minutes,New Video Group
1284,4,0,100.0,2000,NR,Action and Adventure|Art House and International|Drama,Mitsuo Yanagimachi,,,,120 minutes,
1286,2,0,100.0,2000,NR,Art House and International,Alberto Lattuada,,,,105 minutes,
1287,5,4,55.56,2000,G,Art House and International|Documentary|Drama|Musical and Performing Arts|Special Interest,Godfrey Reggio,1988,2002,,95 minutes,
1288,31,65,32.29,2000,PG,Comedy,Steve Carr,2009,2009,"146,336,178",91 minutes,Sony Pictures/Columbia Pictures
1289,13,1,92.86,2000,R,Art House and International|Comedy|Drama,Dusan Makavejev,1981,2001,,98 minutes,
